Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Bladder,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Cultured_fibroblasts,Cells_EBV-transformed_lymphocytes,Cervix_Ectocervix,Cervix_Endocervix,Colon_Sigmoid,Colon_Transverse,Colon_Transverse_Mixed_Cell,Colon_Transverse_Mucosa,Colon_Transverse_Muscularis,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Fallopian_Tube,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Kidney_Medulla,Liver,Liver_Hepatocyte,Liver_Mixed_Cell,Liver_Portal_Tract,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pancreas_Acini,Pancreas_Islets,Pancreas_Mixed_Cell,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,Small_Intestine_Terminal_Ileum_Mixed_Cell,Spleen,Stomach,Stomach_Mixed_Cell,Stomach_Mucosa,Stomach_Muscularis,Testis,Thyroid,Uterus,Vagina,Whole_Blood
25.6297,21.3415,10.8212,15.8003,14.6404,15.0534,15.8315,24.3565,35.4311,16.2075,72.3882,72.8153,33.1697,34.4261,23.7086,28.6345,15.3304,15.6072,28.8783,20.1671,27.1311,10.6996,9.18473,42.103,21.7764,14.2947,13.1429,15.6063,13.2166,14.8396,15.5806,99.5876,15.546,17.7797,17.4905,18.8101,12.9898,13.6371,6.94707,7.72411,7.18708,15.5372,33.1016,42.5344,7.14859,21.5884,21.6434,11.5196,14.5253,19.5511,13.5193,26.4159,33.4177,278.347,374.608,13.7634,11.7119,15.3859,10.7451,19.8291,26.3392,27.9944,14.9117,41.0339,35.1991,17.7443,59.3312,6.84386
143.944,117.925,55.4468,35.3623,54.688,24.498,60.162,35.1181,37.842,33.9151,48.7856,46.4073,45.0319,51.7345,30.9852,47.4396,35.3491,30.3438,54.2504,39.9586,90.1452,134.724,124.982,143.903,43.613,26.671,45.8525,60.0336,54.1164,25.8897,30.754,634.538,28.6354,45.058,22.2121,15.7976,40.5216,55.1458,37.8068,52.9801,57.5782,57.4001,137.97,92.3158,19.553,61.8933,56.8623,16.2913,12.0584,34.2362,15.5533,66.3141,45.5821,59.6641,59.842,59.6619,49.2375,66.1441,145.309,50.9994,58.9425,59.9581,24.7528,132.093,102.983,35.1995,171.132,680.903
75.2251,81.2186,62.9969,93.4104,101.524,82.4337,69.1049,53.1161,59.7117,63.062,50.6331,51.5272,60.6237,61.151,53.5797,56.1862,69.9824,56.4959,45.5325,44.8282,73.9798,204.743,182.72,67.6973,78.9104,69.1131,47.4751,33.3588,20.5466,67.0456,65.3838,60.603,68.1055,79.8258,48.7003,35.7007,26.7196,42.0015,31.6459,45.9779,39.0051,79.3629,63.6704,51.2012,67.1623,158.471,86.5911,87.9286,98.3177,53.5823,88.7592,72.1136,67.0281,58.675,61.204,49.8653,74.0379,54.4687,84.9671,51.9735,50.4184,47.0053,75.9996,56.398,53.6536,89.0871,66.0372,19.0508
0.657285,4.59411,18.117,11.2541,4.2991,1.68221,5.54933,176.628,130.664,146.779,142.965,127.444,132.553,148.832,114.94,131.007,100.732,104.316,150.811,121.521,12.3006,0.519293,0.756028,11.1187,6.79807,5.2559,2.6211,1.69125,0.63026,4.93057,8.18408,6.97918,6.55799,5.91279,5.78719,1.00339,8.51751,32.8602,10.3357,12.7693,12.1667,6.38922,6.29808,12.9035,0.828511,30.5399,3.64639,32.0932,38.7599,17.7563,44.2662,141.888,17.0171,14.8087,18.0631,4.89306,10.72,5.49517,3.5866,6.74313,6.26504,6.48245,10.98,16.7495,10.5195,3.96573,14.0996,1.42304
13.7751,15.3256,27.8366,31.7339,22.5689,14.994,29.1254,58.3785,89.3567,82.9916,288.253,290.021,127.65,128.482,63.8131,72.9199,103.11,68.5327,45.3639,44.1814,23.3804,17.5643,18.4581,33.7057,48.9784,25.0023,14.1977,9.01624,7.26264,26.6691,30.2311,17.1389,26.3705,45.8502,15.9503,7.9882,26.5644,71.7505,14.7546,11.819,10.7048,29.3353,25.2303,30.3155,4.43915,56.3358,34.9772,15.4345,22.7543,43.0826,17.8147,95.5612,59.2879,37.6455,37.0386,22.8903,83.3685,33.4539,37.2873,21.5721,20.8885,19.3533,33.9413,40.0822,62.607,32.789,36.6394,9.79277
36.6302,30.9102,28.1153,31.4921,34.3617,22.9357,28.3994,9.4761,6.22041,8.05116,2.63134,3.60391,6.83455,5.82076,7.90398,8.65067,6.81781,7.32706,20.8165,10.7213,36.847,48.2457,9.3494,36.676,32.9677,23.0207,17.8392,16.3865,10.9713,22.7721,27.2124,33.4612,25.1179,36.6969,12.95,7.75986,28.981,33.9921,8.05522,8.84,8.32764,33.3185,61.7935,27.1473,15.6456,47.473,28.3259,15.5097,17.4358,14.8226,16.5185,27.2985,64.9261,28.7082,28.8797,19.9693,27.6431,21.4644,69.7402,18.6419,18.2357,14.8163,34.2165,27.4269,43.5228,29.6376,40.0153,190.453
3.15826,3.11594,1.76894,3.05733,3.65336,3.14157,2.0268,2.72755,4.79321,1.28348,1.84956,2.41253,5.9308,4.98686,2.4206,1.7461,1.22298,0.790298,1.82835,1.58059,3.11557,0.561873,1.52329,2.49037,2.30283,3.6981,2.04522,1.11527,1.20202,1.1504,3.4766,1.40225,3.5591,1.99156,29335.5,36.7157,1.08404,0.857246,1.1659,0.506625,0.567418,3.3842,4.64375,1.84037,2.37012,3.9199,2.63565,0.953296,0.443688,2.12729,0.464219,5.83526,5.06884,3.07239,3.17276,2.99027,4.2386,2.20802,3.71624,1.46651,0.914879,0.45464,0.791149,11.1336,3.56939,3.21015,3.83061,1.90155
67.8006,72.4256,44.1287,112.092,92.0777,60.8742,65.4819,17.508,18.4771,23.7402,17.6955,20.0119,21.2637,22.1241,18.6427,26.7439,20.3722,23.6023,21.9953,24.1021,63.8429,329.128,52.0308,77.4042,117.25,76.0654,43.2656,30.9139,16.9048,52.0072,75.5458,26.3695,75.8743,122.799,45.8443,35.1152,43.0361,47.8752,48.9547,48.6078,64.0565,51.9588,77.6226,51.9731,24.4972,86.9767,94.4939,22.9079,21.1911,19.237,23.2995,50.0758,61.2007,38.2495,39.2233,37.8972,13.2904,35.0481,50.7204,35.1825,30.0511,18.4488,67.1196,21.908,67.3052,115.539,61.4862,44.4004
44.098,38.9344,32.4442,38.1543,41.9959,54.4205,69.268,31.2308,37.8075,35.5985,62.2746,59.2085,46.7081,53.6074,30.3141,39.4518,40.6023,33.8826,44.5957,40.2404,43.0191,57.1457,44.8735,45.6901,46.0604,76.4416,46.9956,46.8158,34.8882,65.5866,87.221,58.9058,104.098,45.554,98.9123,124.54,21.4964,36.9781,28.6773,31.8881,32.6235,39.6198,46.985,34.1456,115.407,46.1242,42.2207,10.6656,9.70717,18.1723,10.7695,40.8538,49.804,68.571,72.8996,44.3431,32.3378,37.8099,41.5208,38.5385,40.1723,28.293,61.8185,43.5441,67.3945,53.0166,52.3369,37.826
112.854,94.3343,17.1764,28.4113,47.1519,21.8508,31.9651,6.49099,4.71063,6.69043,3.35664,4.6205,5.47702,4.63292,6.92816,9.46974,5.30673,6.10567,23.1545,12.5622,81.0072,18.1636,110.447,31.6556,43.0346,25.6931,25.372,25.5321,17.2037,20.0743,25.5968,10.8874,24.7399,45.137,16.8789,11.7197,10.9652,24.1377,21.5656,25.9255,30.4346,99.4507,104.095,16.1631,10.7846,71.745,20.9026,4.08376,2.39756,3.37913,4.92822,16.4653,24.2645,15.7135,20.4655,62.7212,124.706,72.3084,192.165,20.0859,18.5214,10.7161,35.5272,5.18594,25.5178,37.0583,27.8158,547.382
