MeshId	TreeNum
D002532	C10.228.140.300.510.600, C14.907.055.635, C14.907.253.560.300
D003324	C14.280.647.250.260, C14.907.137.126.339, C14.907.585.250.260
D005199	C15.378.050.085.080.280, C15.378.190.223.500.500.280, C16.320.077.280, C18.452.284.280
D001650	C04.588.274.120.250, C06.130.120.120, C06.130.320.120, C06.301.120.250
D006943	C18.452.394.952
D056989	C14.280.647.500.187, C14.907.585.500.187, C23.550.513.355.750.187, C23.550.717.489.750.187
D016393	C04.557.386.480.150, C15.604.515.569.480.150, C20.683.515.761.480.150
D000544	C10.228.140.380.100, C10.574.945.249, F03.615.400.100
D018358	C04.557.465.625.650, C04.557.580.625.650
D007154	C20
D001859	C04.588.149, C05.116.231
D043183	C06.405.469.158.272.608
D009303	C04.588.443.665.710.650, C07.550.350.650, C07.550.745.650, C09.647.710.650, C09.775.350.650, C09.775.549.650
D012175	C04.557.465.625.600.725, C04.557.470.670.725, C04.557.580.625.600.725, C04.588.364.818.760, C11.270.862, C11.319.475.760, C11.768.717.760
D013226	C10.597.742.785, C23.888.592.742.785
C566007	
D009136	C05.651.534.500, C10.668.491.175.500, C16.320.577
D004660	C10.228.140.430, C10.586.250
D013274	C04.588.274.476.767, C06.301.371.767, C06.405.249.767, C06.405.748.789
D003711	C10.314
D009190	C15.378.190.625
D006521	C06.552.380.350, C23.550.291.500.477
D011471	C04.588.945.440.770, C12.100.500.260.750, C12.100.500.565.625, C12.200.294.260.750, C12.200.294.565.625, C12.200.758.409.750, C12.900.619.750
D016889	C04.588.945.418.948.585, C12.050.351.500.852.762.200, C12.050.351.937.418.875.200, C12.100.250.852.762.200, C12.900.418.875.200
D000077195	C04.557.470.200.400.565, C04.588.443.177
D055752	C04.588.894.797.520.109.220.624, C08.381.540.140.750, C08.785.520.100.220.750
D001008	F03.080
D014605	C11.941.879
D020181	C08.618.085.852.850, C10.886.425.800.750.850
D006689	C04.557.386.355, C15.604.515.569.355, C20.683.515.761.355
D014565	C04.588.945, C12.050.351.937, C12.200.758, C12.900
D010024	C05.116.198.579, C18.452.104.579
D006330	C14.240.400, C14.280.400, C16.131.240.400
D018280	C04.557.470.200.025.420, C04.557.470.550.420
D002311	C14.280.195.160, C14.280.238.070, C16.320.488.750
C536914	
D056685	C05.660.207.219, C16.131.077.256, C16.320.188
C565808	
D004679	C01.207.291, C10.228.228.291, C10.586.500
D007153	C20.673
D000690	C10.228.854.139, C10.574.562.250, C10.574.950.050, C10.668.467.250, C18.452.845.800.050
D020388	C05.651.534.500.300, C10.668.491.175.500.300, C16.320.322.562, C16.320.577.300
D024821	C18.452.394.968.500.570, C18.452.625
D046152	C04.557.450.565.370, C06.301.371.308, C06.405.249.308
D010518	C07.465.714.533
D000740	C15.378.050
D007006	C19.391.482
D033461	C23.550.449
D018236	C04.557.465.200
D018442	C04.557.386.480.150.570, C15.604.515.569.480.150.570, C20.683.515.761.480.150.570
D000077765	C11.270.151, C11.768.216
D006391	C04.557.645.375
D016889	C04.588.945.418.948.585, C12.050.351.500.852.762.200, C12.050.351.937.418.875.200, C12.100.250.852.762.200, C12.900.418.875.200
D005922	C12.050.351.968.419.570.363.608, C12.200.777.419.570.363.608, C12.950.419.570.363.608, C20.111.525
D000077195	C04.557.470.200.400.565, C04.588.443.177
D018281	C04.557.470.200.025.450
D008659	C18.452
D018981	C16.320.565.202.125, C18.452.648.202.125
D054331	C12.100.500.430.754, C12.100.750.700.754, C12.200.294.430.754
D004827	C10.228.140.490
D003930	C11.768.257, C14.907.320.382, C19.246.099.500.382
D008607	C10.597.606.360, C23.888.592.604.646, F01.700.687, F03.625.539
D010911	C04.588.322.609, C04.588.614.250.195.885.500.600, C10.228.140.211.885.500.600, C10.228.140.617.477.600, C10.228.140.617.738.675, C10.551.240.250.700.500.500, C19.344.609, C19.700.734
D012791	C10.177.575.550.750, C10.228.140.079.612.700, C10.228.662.550.700, C14.907.514.741
D007640	C11.204.627
D014355	C01.610.752.300.900.200, C01.920.625
D006528	C04.557.470.200.025.255, C04.588.274.623.160, C06.301.623.160, C06.552.697.160
D017827	C10.228.140.252.190.530.530, C10.228.140.252.700.700.500, C10.228.854.787.875.500, C10.574.500.825.700.500, C10.597.350.090.500.530.530, C16.320.400.780.875.500
D007248	C12.100.500.430, C12.100.750.700, C12.200.294.430
D001321	F03.625.164.113.500
D012162	C11.270.612, C11.768.585
D013964	C04.588.322.894, C04.588.443.915, C19.344.894, C19.874.788
D012878	C04.588.805, C17.800.882
D006526	C01.221.250.750, C01.925.440.440, C01.925.782.350.350, C06.552.380.705.440
D001281	C14.280.067.198, C23.550.073.198
D012509	C04.557.450.795
D009503	C15.378.243.750.184.564, C15.378.553.546.184.564
D055728	C15.378.190.636.765
D009447	C04.557.465.625.600.590.650.550, C04.557.470.670.590.650.550, C04.557.580.625.600.590.650.550
D003103	C11.250.110, C11.270.147, C16.131.384.282
D001714	F03.600.150.500
D003123	C04.588.274.476.411.307.190, C04.700.250, C06.301.371.411.307.190, C06.405.249.411.307.190, C06.405.469.158.356.190, C06.405.469.491.307.190, C16.320.700.250, C18.452.284.255
D006627	C06.198.439, C06.405.469.158.701.439, C16.131.314.439
D011014	C01.748.610, C08.381.677, C08.730.610
D000789	C14.280.647.187.150, C14.907.585.187.150, C23.888.592.612.233.500.150
D006111	C11.675.349.500, C19.874.283.605, C19.874.397.370, C20.111.555
D002386	C11.510.245
D001932	C04.588.614.250.195, C10.228.140.211, C10.551.240.250
D003920	C18.452.394.750, C19.246
D006816	C10.228.140.079.545, C10.228.140.380.278, C10.228.662.262.249.750, C10.574.500.497, C16.320.400.430, F03.615.250.400, F03.615.400.390
D004715	C12.050.351.500.163, C12.100.250.163
D008545	C04.557.465.625.650.510, C04.557.580.625.650.510, C04.557.665.510, C04.588.805.377, C17.800.882.445
D003409	C05.116.099.343.347, C05.116.132.256, C16.320.240.625, C19.297.155, C19.874.482.281
D018277	C04.557.470.200.025.340, C04.557.470.590.340
D015783	C11.250.060, C11.270.060, C11.941.375.060, C16.131.384.079, C16.320.290.078
D007511	C23.550.513
D008133	C14.280.067.565, C14.280.123.625, C16.131.240.400.715, C23.550.073.547
D009373	C04.557.465
D005234	C06.552.241
D003704	C10.228.140.380, F03.615.400
D012512	C04.557.450.565.575.650.800, C04.557.450.795.620.800
D009216	C11.744.636
D008180	C17.300.480, C20.111.590
D007676	C12.050.351.968.419.780.750.500, C12.200.777.419.780.750.500, C12.950.419.780.750.500, C23.550.291.500.906.500
D002561	C10.228.140.300, C14.907.253
D017253	C04.557.580.600.580.590, C04.700.631, C10.562.600, C10.574.500.549, C16.320.400.560, C16.320.700.633
D006973	C14.907.489
D000067877	F03.625.164.113
D012595	C17.300.799, C17.800.784
D002312	C14.280.238.100, C14.280.484.048.750.070.160
D011225	C12.050.703.395.249
D015535	C05.116.900.853.625.800.424, C05.550.114.145, C05.550.114.865.800.424, C17.800.859.675.175
D008209	C15.604.496
D005354	C04.557.450.565.590.350, C04.557.450.795.350
D013584	C04.557.450.565.835, C04.557.450.795.875
D012004	C04.588.274.476.411.307.790, C06.301.371.411.307.790, C06.405.249.411.307.790, C06.405.469.491.307.790, C06.405.469.860.180.500
D010022	C05.116.099.708.702.678
D029424	C08.381.495.389, C23.550.291.500.875
D010190	C04.588.274.761, C04.588.322.475, C06.301.761, C06.689.667, C19.344.421
D054990	C08.381.483.652.500
D054198	C04.557.337.428.600, C15.378.508.428.600, C15.604.515.560.600, C20.683.515.528.600
D002446	C06.405.469.637.250, C18.452.603.250
D009765	C18.654.726.750.500, C23.888.144.699.500
D018270	C04.557.470.200.025.232.500, C04.557.470.615.132.500, C04.588.180.390, C17.800.090.500.390
D007945	C04.557.337.428, C15.378.508.428, C15.604.515.560, C20.683.515.528
D010392	C17.800.865.716, C20.111.736
D001766	C10.597.751.941.162, C11.966.075, C23.888.592.763.941.162
D018761	C04.588.322.400.500, C04.651.600.500, C04.700.630.500, C16.320.700.630.500, C19.344.400.500
D002545	C10.228.140.300.150, C14.907.253.092
D008413	C12.050.703.844.603, C17.800.090.968
D000741	C15.378.050.085, C15.378.190.223.250
D008881	C10.228.140.546.399.750
D005879	C10.228.140.079.898, C10.228.662.825.800, C10.574.500.850, C16.320.400.820, F03.625.992.850
D000848	C07.650.800.100, C07.793.700.100, C16.131.850.800.100
D012559	F03.700.750
D001927	C10.228.140
D015458	C04.557.337.428.580, C15.378.508.428.580, C15.604.515.560.575, C20.683.515.528.582
D015451	C04.557.337.428.080.125, C15.378.508.428.080.125, C15.604.515.560.080.125, C20.683.515.528.080.125, C23.550.291.500.483
D012468	C04.588.443.591.824, C07.465.530.824, C07.465.815.718
D006976	C08.381.423, C14.907.489.556
D007246	C12.100.750
D053040	C12.050.351.968.419.600, C12.050.351.968.967.249, C12.200.777.419.600, C12.200.777.967.249, C12.950.419.600, C12.950.967.249
C562393	
