Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Bladder,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Cultured_fibroblasts,Cells_EBV-transformed_lymphocytes,Cervix_Ectocervix,Cervix_Endocervix,Colon_Sigmoid,Colon_Transverse,Colon_Transverse_Mixed_Cell,Colon_Transverse_Mucosa,Colon_Transverse_Muscularis,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Fallopian_Tube,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Kidney_Medulla,Liver,Liver_Hepatocyte,Liver_Mixed_Cell,Liver_Portal_Tract,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pancreas_Acini,Pancreas_Islets,Pancreas_Mixed_Cell,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,Small_Intestine_Terminal_Ileum_Mixed_Cell,Spleen,Stomach,Stomach_Mixed_Cell,Stomach_Mucosa,Stomach_Muscularis,Testis,Thyroid,Uterus,Vagina,Whole_Blood
5.77312,5.02088,4.34345,5.99477,6.07403,4.68468,8.48064,2.66478,3.94536,4.96169,23.1621,22.8134,6.3521,5.3535,3.74146,4.96336,5.82914,3.99886,5.14548,3.68122,5.8702,7.08529,8.37651,8.26532,13.2226,7.0664,6.84851,6.83016,6.70455,8.49049,6.03834,3.54275,5.65601,11.5349,2.76744,1.63966,3.695,8.20172,3.55839,3.79617,2.71617,8.88883,6.96681,5.74524,1.50423,10.2798,14.4403,4.34477,6.03095,7.7716,4.91802,13.8373,8.62308,3.04554,3.21451,8.66237,20.5321,10.7896,12.62,5.52542,5.96411,5.03552,6.01615,3.40091,9.14245,11.4659,7.19859,2.3989
8.19663,8.4787,4.93705,6.04445,6.87523,6.02618,6.44789,3.67922,5.17255,5.39739,8.09546,10.3067,8.54988,6.32131,4.73961,4.67772,7.13837,4.35035,3.57621,3.21352,8.77226,8.12736,6.84228,8.71572,10.4364,6.24941,5.00128,3.91971,3.47918,5.42285,6.06627,4.43429,5.77071,9.31512,2.89039,1.60387,3.80791,7.70135,1.61644,2.00919,1.45814,6.44653,10.4832,5.30266,1.79176,14.1673,10.9212,2.84339,2.58621,11.3937,2.63612,22.9335,7.27188,12.2967,11.7549,5.56599,7.22007,5.54624,6.72233,4.00544,3.59256,2.46476,5.12059,21.8487,22.4118,10.4495,7.97451,2.08808
39.9706,35.5937,38.277,59.0975,53.1712,55.2361,37.439,12.3453,14.6062,25.276,32.1792,45.8911,18.6426,22.0937,13.6682,16.1785,22.404,22.654,18.4317,16.8618,33.0685,71.8846,32.7577,37.4093,40.7348,42.7797,31.3828,34.3865,26.3295,36.9732,38.3929,38.7938,40.3753,38.3865,24.68,20.7542,20.6345,34.0956,10.5754,13.5486,13.6069,31.513,33.2686,31.5403,40.7073,38.8234,20.2983,12.264,11.3966,31.0835,13.4271,47.5495,33.6851,29.5721,32.6537,29.6209,15.8689,35.2146,18.0296,21.4749,23.1645,15.0645,32.1777,15.6695,40.1204,42.9834,36.758,4.73587
8.3211,7.14052,7.43119,7.544,7.9389,7.50756,9.83747,4.02269,5.06461,4.11537,13.154,13.1163,5.96178,5.76112,4.68341,4.74443,4.92619,3.53624,3.66113,3.63781,8.20842,10.1876,11.1403,9.91271,13.3778,10.4728,7.52332,7.10556,6.47159,11.9492,9.52652,7.72007,9.38318,12.3223,3.32683,3.06829,3.49031,7.37936,4.10555,5.56787,4.4423,12.2437,8.33655,6.61633,6.00732,11.6023,12.4779,4.64492,7.08238,7.00107,5.3559,9.16181,9.75202,10.5128,10.8475,9.45615,21.5148,10.4961,18.9166,6.98868,8.37319,7.14874,10.9502,10.1559,9.18845,14.2522,8.86435,1.98013
0.155658,0.096172,0.409238,0.631729,0.290978,0.28043,0.16796,0.136894,0.110431,0.163149,0.175956,0.212737,0.114479,0.101446,0.110801,0.118575,0.166648,0.124436,0.092258,0.123505,0.1881,0.142151,0.121342,0.255702,0.328209,0.762555,0.309788,0.228317,0.0661755,0.975686,0.136203,0.0873155,0.127033,0.308029,0.032625,0.017184,0.059747,0.171789,0.047756,0.04822,0.041363,0.148281,0.425574,0.55509,0.153632,0.163872,0.423356,0.0282345,0.020236,0.064705,0.0203555,0.548308,0.143681,0.869165,0.450934,0.16575,0.211505,0.216632,1.0042,0.218416,0.201161,0.141209,0.45711,10.083,0.0915065,0.206453,0.174747,0.029454
33.5241,26.8463,31.3155,78.8807,59.2252,75.5609,71.9669,12.6951,15.6428,15.7527,22.648,27.0961,24.27,20.5184,14.5189,16.5042,17.4302,12.7604,19.241,15.3114,35.1326,30.7438,12.1886,37.7597,44.2722,60.9046,25.023,19.2106,8.53725,51.6585,64.455,36.8011,64.2751,40.9311,34.1203,24.5961,13.7165,31.8404,10.1967,21.0419,15.1789,21.8459,25.8381,31.3489,87.7042,44.8904,48.0615,16.6963,19.1911,21.9127,19.0451,43.2931,47.1703,44.625,47.5349,19.265,24.0764,19.5894,24.2702,25.2227,31.6142,20.4423,60.6945,26.6133,30.8546,51.6586,36.4793,28.5425
15.9801,13.7826,21.2288,14.2317,15.0152,15.8533,18.9851,6.63817,9.56681,7.46889,19.6095,21.2273,13.488,12.996,6.48712,6.99949,9.11896,6.33178,7.71999,6.5475,16.3806,31.8049,31.9477,18.6217,19.7126,17.5102,20.126,19.4949,17.6243,13.8653,15.8646,18.0942,16.6239,20.1654,13.0796,13.6677,13.2656,30.6993,8.08089,8.76032,10.7405,11.3444,16.2676,14.5171,15.4707,20.9119,22.0658,7.5538,5.68739,7.71289,6.16441,12.7981,15.1814,17.7598,18.8651,18.5823,19.3349,16.1444,21.182,14.6331,12.9415,9.59222,11.2457,20.6253,17.6431,21.0134,17.6946,3.10293
0.0504805,0.07422,1.04121,0.0517175,0.0767025,0.0,0.062479,0.0,0.0,0.0,0.117845,0.116534,0.0,0.0,0.0,0.693646,0.0,0.0,0.130466,0.051588,0.027799,0.0,0.0,0.0786065,0.077612,0.0,0.099123,0.195924,0.41612,0.080469,0.0,0.071895,0.0,0.044303,0.0,0.0,0.02053,0.097006,0.036435,0.03133,0.0,0.897983,0.264657,0.034408,0.0,0.043033,0.0,0.0,0.0,0.0,0.0,0.079422,0.291818,0.0,0.023394,0.135264,0.505599,0.464191,0.638232,0.037194,0.02944,0.024235,0.063589,0.060781,0.0444655,0.0,0.0652425,0.336014
0.0423205,0.091523,0.034322,0.113276,0.0731745,0.017252,0.037554,0.00335,0.00414,0.006257,0.009144,0.009831,0.005781,0.006931,0.008036,0.033847,0.003916,0.0077675,0.016371,0.007255,0.0388885,0.0191575,1.82457,0.039613,0.03756,0.026948,0.061273,0.084523,0.054621,0.029286,0.025193,0.0555895,0.017111,0.047615,0.033016,0.009439,0.040249,0.039779,0.038581,0.020442,0.037619,0.805203,0.424266,0.044924,0.006155,0.0420905,0.016519,0.0232665,0.011941,0.010044,0.029854,0.054035,0.0425065,0.040123,0.0292745,0.370668,1.86495,0.877286,1.377,0.062373,0.059975,0.041801,0.0248955,0.086038,0.06848,0.025968,0.04566,1.62953
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009419,0.0,0.0,0.0,0.0,0.0,0.0,0.018886,0.009403,0.0,0.0,0.01482,0.011344,0.028143,0.0,0.0,0.0068185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016571,0.0121205,0.074737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084296,0.0,11.0967,22.4544,0.01576,0.24157,0.0454085,0.194794,0.0,0.0,0.0,0.0,0.063739,0.0135755,0.0,0.0,0.092358
